name_en,name_ar,strength,form,price_egp
Calcium+D3,كالسيوم+د3,400 mg,Vial,337.0
Ferrous Fumarate,حديد فومارات,250 mg,Syrup,196.0
Folic Acid,حمض الفوليك,500 mg,Cap,147.0
B-Complex,بي كومبلكس,1 g,Oint,287.0
Bepanthen,بيبانثين,100 mg,Oint,31.0
Fucidin,فيوسيدين,1%,Cream,227.0
Dermovate,درموفيت,150 mg,Syrup,163.0
Mupirocin,موبيروسين,5 mg,Oint,250.0
Clotrimazole,كلوتريمازول,20 mg,Nebules,521.0
Ketoconazole,كيتوكونازول,200 mg,Sachets,300.0
Tobrex,توبركس,75 mg,Sachets,300.0
Maxitrol,ماكسيترول,0.1%,Susp,306.0
Artificial Tears,دموع صناعية,200 mg,Syrup,88.0
Ofloxacin,اوفلوكساسين,0.1%,Shampoo,136.0
Zithrokan,زيثروكان,600 mg,Gel,256.0
Augmentin ES,اوجمنتين إي إس,250 mg,Gel,53.0
Congestal,كونجستال,5 mg,Nebules,414.0
Actifed,اكتيفيد,500 mg,Drops,284.0
Gaviscon,جافيسكون,1 g,Amp,655.0
ORS,محلول الجفاف,40 mg,Oint,290.0
Ambroxol,امبروكسول,400 mg,Shampoo,297.0
Guaifenesin,جوايفينيزين,400 mg,Sachets,193.0
Miconazole,ميكونازول,75 mg,Susp,210.0
Chlorhexidine,كلورهيكسيدين,1%,Shampoo,151.0
Zinc Sulfate,كبريتات الزنك,75 mg,Susp,315.0
Magnesium,ماغنيسيوم,2%,Susp,66.0
Allopurinol,الوبورينول,10 mg,Cream,293.0
Colchicine,كولشيسين,2%,Sachets,249.0
Prednisolone,بريدنيزولون,20 mg,Susp,136.0
Dexamethasone,ديكساميثازون,300 mg,Amp,447.0
Hydrocortisone,هيدروكورتيزون,20 mg,Sachets,107.0
Diclofenac,ديكلوفيناك,40 mg,Inhaler,220.0
Cyanocobalamin,فيتامين ب12,2%,Vial,389.0
Neurobion,نيوروبيون,300 mg,Drops,193.0
Primolut-N,بريمولوت إن,2%,Susp,292.0
Drotaverine,دروتافيرين,250 mg,Amp,598.0
Tranexamic Acid,ترانيكساميك أسيد,40 mg,Drops,118.0
Iron Sucrose,ايرون سكروز,20 mg,Tab,270.0
Insulin Syringes,سرنجات أنسولين,250 mg,Syrup,235.0
Glucometer Strips,شرائط سكر,300 mg,Sachets,78.0
Alcohol Swabs,مسحات كحولية,250 mg,Cream,43.0
Elastic Bandage,رباط ضاغط,1%,Tab,192.0
Thermometer,ترمومتر,10 mg,Sachets,167.0
Pulse Oximeter,جهاز أكسجين نبضي,40 mg,Drops,275.0
BP Monitor,جهاز ضغط,20 mg,Shampoo,102.0
